risk_id,value,change,type,streak,event
1,6.58,1.8,0,1,
2,25.26,2.3,0,1,
3,98.26,6.6,0,2,
1,6.42,-2.5,1,1,
2,26.78,6.0,0,2,
3,91.97,-6.4,1,2,crash:5
1,6.6,2.8,0,1,
2,24.83,-7.3,1,1,
3,87.28,-5.1,1,2,crash:4
1,6.73,1.9,0,2,
2,24.68,-0.6,1,2,
3,80.82,-7.4,1,2,crash:3
1,6.56,-2.5,1,1,
2,24.73,0.2,0,1,
3,72.82,-9.9,1,2,crash:2
1,6.71,2.3,0,1,
2,26.02,5.2,0,2,
3,68.81,-5.5,1,2,crash:1
1,6.78,1.1,0,2,
2,24.67,-5.2,1,1,
3,76.31,10.9,0,1,
1,6.79,0.2,0,3,
2,24.74,0.3,0,1,
3,71.04,-6.9,1,1,
1,6.87,1.2,0,4,
2,24.84,0.4,0,2,
3,65.93,-7.2,1,2,
1,6.68,-2.8,1,1,
2,23.9,-3.8,1,1,
3,61.97,-6.0,1,3,
1,6.74,0.9,0,1,
2,24.16,1.1,0,1,
3,66.31,7.0,0,3,break:5
1,6.7,-0.6,1,1,
2,24.91,3.1,0,2,
3,71.48,7.8,0,3,break:4
1,6.74,0.6,0,1,
2,24.46,-1.8,1,1,
3,76.63,7.2,0,3,break:3
1,6.81,1.0,0,2,
2,26.2,7.1,0,1,
3,83.91,9.5,0,3,break:2
1,6.87,0.9,0,3,
2,25.6,-2.3,1,1,
3,93.14,11.0,0,3,break:1
1,6.86,-0.2,1,1,
2,26.6,3.9,0,1,
3,100.96,8.4,0,4,
1,6.9,0.6,0,1,
2,27.24,2.4,0,2,
3,91.47,-9.4,1,1,
1,6.78,-1.7,1,1,
2,27.89,2.4,0,3,
3,100.89,10.3,0,1,
1,6.81,0.4,0,1,
2,28.98,3.9,0,4,
3,106.24,5.3,0,2,
1,6.87,0.9,0,2,
2,29.18,0.7,0,5,
3,96.25,-9.4,1,1,
1,6.9,0.5,0,3,
2,30.99,6.2,0,6,
3,101.64,5.6,0,1,
1,6.87,-0.4,1,1,
2,30.28,-2.3,1,1,
3,112.52,10.7,0,2,
1,6.96,1.3,0,1,
2,29.89,-1.3,1,2,
3,125.8,11.8,0,3,
1,6.91,-0.7,1,1,
2,29.83,-0.2,1,3,
3,116.62,-7.3,1,1,
1,6.94,0.4,0,1,
2,27.68,-7.2,1,4,
3,106.94,-8.3,1,2,
1,7.11,2.4,0,2,
2,28.57,3.2,0,1,
3,100.42,-6.1,1,3,
1,7.25,2.0,0,3,
2,27.91,-2.3,1,1,
3,107.85,7.4,0,1,
1,7.1,-2.0,1,1,
2,29.7,6.4,0,1,
3,99.98,-7.3,1,1,
1,7.15,0.7,0,1,
2,27.56,-7.2,1,1,
3,94.08,-5.9,1,2,
1,7.2,0.7,0,2,
2,28.77,4.4,0,1,
3,85.52,-9.1,1,3,
1,7.41,2.9,0,3,
2,27.62,-4.0,1,1,
3,91.68,7.2,0,1,
1,7.42,0.1,0,4,
2,27.07,-2.0,1,2,
3,101.58,10.8,0,2,
1,7.2,-3.0,1,1,
2,26.39,-2.5,1,3,
3,94.88,-6.6,1,1,
1,7.34,1.9,0,1,
2,25.97,-1.6,1,4,
3,105.98,11.7,0,1,
1,7.54,2.7,0,2,
2,27.48,5.8,0,1,
3,116.68,10.1,0,2,
1,7.43,-1.4,1,1,
2,28.22,2.7,0,2,
3,110.03,-5.7,1,1,
1,7.55,1.6,0,1,
2,27.03,-4.2,1,1,
3,100.24,-8.9,1,2,
1,7.5,-0.7,1,1,
2,27.38,1.3,0,1,
3,109.46,9.2,0,1,
1,7.59,1.2,0,1,
2,28.56,4.3,0,2,
3,116.14,6.1,0,2,
1,7.64,0.7,0,2,
2,27.53,-3.6,1,1,
3,107.31,-7.6,1,1,
1,7.48,-2.1,1,1,
2,25.93,-5.8,1,2,
3,100.98,-5.9,1,2,
1,7.32,-2.1,1,2,
2,24.56,-5.3,1,3,
3,108.76,7.7,0,1,
1,7.26,-0.8,1,3,
2,24.95,1.6,0,1,
3,116.16,6.8,0,2,
1,7.45,2.6,0,1,
2,23.53,-5.7,1,1,
3,107.8,-7.2,1,1,
1,7.6,2.0,0,2,
2,23.2,-1.4,1,2,
3,117.29,8.8,0,1,
1,7.58,-0.2,1,1,
2,24.06,3.7,0,1,
3,125.62,7.1,0,2,
1,7.67,1.2,0,1,
2,24.18,0.5,0,2,
3,141.2,12.4,0,3,
1,7.79,1.6,0,2,
2,25.8,6.7,0,3,
3,148.4,5.1,0,4,
1,7.6,-2.4,1,1,
2,26.68,3.4,0,4,
3,133.71,-9.9,1,1,
1,7.65,0.6,0,1,
2,28.6,7.2,0,5,
3,121.01,-9.5,1,2,
1,7.64,-0.1,1,1,
2,29.97,4.8,0,6,
3,112.78,-6.8,1,3,
1,7.82,2.3,0,1,
2,30.24,0.9,0,7,
3,126.2,11.9,0,1,
1,7.68,-1.8,1,1,
2,31.06,2.7,0,8,
3,116.99,-7.3,1,1,
1,7.71,0.4,0,1,
2,32.89,5.9,0,9,
3,125.53,7.3,0,1,
1,7.84,1.7,0,2,
2,30.88,-6.1,1,1,
3,136.83,9.0,0,2,
1,7.73,-1.4,1,1,
2,30.54,-1.1,1,2,
3,127.8,-6.6,1,1,
1,7.87,1.8,0,1,
2,29.96,-1.9,1,3,
3,143.01,11.9,0,1,
1,7.66,-2.7,1,1,
2,30.2,0.8,0,1,
3,131.86,-7.8,1,1,
1,7.84,2.3,0,1,
2,29.38,-2.7,1,1,
3,147.95,12.2,0,1,
1,7.93,1.1,0,2,
2,30.2,2.8,0,1,
3,134.49,-9.1,1,1,
1,7.76,-2.1,1,1,
2,32.01,6.0,0,2,
3,150.09,11.6,0,1,
1,7.92,2.1,0,1,
2,32.97,3.0,0,3,
3,139.28,-7.2,1,1,
1,7.74,-2.3,1,1,
2,35.41,7.4,0,4,
3,129.11,-7.3,1,2,
1,7.53,-2.7,1,2,
2,35.06,-1.0,1,1,
3,119.04,-7.8,1,3,
1,7.72,2.5,0,1,
2,36.99,5.5,0,1,
3,133.56,12.2,0,1,
1,7.55,-2.2,1,1,
2,36.62,-1.0,1,1,
3,149.99,12.3,0,2,
1,7.36,-2.5,1,2,
2,35.16,-4.0,1,2,
3,167.09,11.4,0,3,
1,7.49,1.7,0,1,
2,36.18,2.9,0,1,
3,151.05,-9.6,1,1,
1,7.55,0.8,0,2,
2,36.07,-0.3,1,1,
3,159.36,5.5,0,1,
1,7.78,3.0,0,3,
2,36.18,0.3,0,1,
3,175.3,10.0,0,2,
1,7.66,-1.6,1,1,
2,36.22,0.1,0,2,
3,165.13,-5.8,1,1,
1,7.58,-1.1,1,2,
2,34.52,-4.7,1,1,
3,185.44,12.3,0,1,
1,7.45,-1.7,1,3,
2,33.07,-4.2,1,2,
3,200.46,8.1,0,2,
1,7.49,0.6,0,1,
2,31.98,-3.3,1,3,
3,187.43,-6.5,1,1,
1,7.29,-2.7,1,1,
2,29.87,-6.6,1,4,
3,198.68,6.0,0,1,
1,7.3,0.1,0,1,
2,28.59,-4.3,1,5,
3,183.38,-7.7,1,1,
1,7.26,-0.6,1,1,
2,26.99,-5.6,1,6,
3,204.29,11.4,0,1,
1,7.38,1.7,0,1,
2,26.29,-2.6,1,7,
3,187.74,-8.1,1,1,
1,7.39,0.1,0,2,
2,27.81,5.8,0,1,
3,198.82,5.9,0,1,
1,7.18,-2.8,1,1,
2,26.03,-6.4,1,1,
3,184.5,-7.2,1,1,
1,7.22,0.6,0,1,
2,26.81,3.0,0,1,
3,201.66,9.3,0,1,
1,7.38,2.2,0,2,
2,27.45,2.4,0,2,
3,187.34,-7.1,1,1,
1,7.59,2.9,0,3,
2,29.48,7.4,0,3,
3,174.79,-6.7,1,2,
1,7.75,2.1,0,4,
2,31.04,5.3,0,4,
3,158.88,-9.1,1,3,
1,7.7,-0.6,1,1,
2,31.72,2.2,0,5,
3,168.1,5.8,0,1,
1,7.92,2.8,0,1,
2,30.74,-3.1,1,1,
3,184.07,9.5,0,2,
1,7.75,-2.1,1,1,
2,30.52,-0.7,1,2,
3,170.08,-7.6,1,1,
1,7.97,2.9,0,1,
2,30.73,0.7,0,1,
3,179.09,5.3,0,1,
1,7.94,-0.4,1,1,
2,29.47,-4.1,1,1,
3,194.67,8.7,0,2,
1,7.74,-2.5,1,2,
2,30.68,4.1,0,1,
3,184.74,-5.1,1,1,
1,7.77,0.4,0,1,
2,29.64,-3.4,1,1,
3,194.72,5.4,0,1,
1,7.57,-2.6,1,1,
2,29.25,-1.3,1,2,
3,208.16,6.9,0,2,
1,7.73,2.1,0,1,
2,27.09,-7.4,1,3,
3,228.56,9.8,0,3,
1,7.87,1.8,0,2,
2,26.39,-2.6,1,4,
3,211.88,-7.3,1,1,
1,7.83,-0.5,1,1,
2,27.52,4.3,0,1,
3,233.07,10.0,0,1,
1,7.96,1.6,0,1,
2,27.27,-0.9,1,1,
3,220.25,-5.5,1,1,
1,8.03,0.9,0,2,
2,28.66,5.1,0,1,
3,239.19,8.6,0,1,
1,8.17,1.7,0,3,
2,27.11,-5.4,1,1,
3,223.4,-6.6,1,1,
1,8.1,-0.9,1,1,
2,28.57,5.4,0,1,
3,236.8,6.0,0,1,
1,8.34,3.0,0,1,
2,28.06,-1.8,1,1,
3,248.88,5.1,0,2,
1,8.37,0.4,0,2,
2,28.4,1.2,0,1,
3,235.69,-5.3,1,1,
1,8.35,-0.2,1,1,
2,29.51,3.9,0,2,
3,249.36,5.8,0,1,
1,8.38,0.3,0,1,
2,29.78,0.9,0,3,
3,233.4,-6.4,1,1,
1,8.35,-0.4,1,1,
2,30.26,1.6,0,4,
3,216.36,-7.3,1,2,
1,8.52,2.0,0,1,
2,28.84,-4.7,1,1,
3,204.46,-5.5,1,3,
1,8.71,2.2,0,2,
2,29.76,3.2,0,1,
3,222.66,8.9,0,1,
1,8.59,-1.4,1,1,
2,29.94,0.6,0,2,
3,210.64,-5.4,1,1,
1,8.74,1.8,0,1,
2,30.03,0.3,0,3,
3,226.86,7.7,0,1,
1,8.68,-0.7,1,1,
2,30.81,2.6,0,4,
3,238.2,5.0,0,2,
1,8.76,0.9,0,1,
2,29.76,-3.4,1,1,
3,215.57,-9.5,1,1,
1,8.59,-1.9,1,1,
2,29.64,-0.4,1,2,
3,239.71,11.2,0,1,
1,8.39,-2.3,1,2,
2,30.14,1.7,0,1,
3,257.21,7.3,0,2,
1,8.4,0.1,0,1,
2,32.25,7.0,0,2,
3,232.78,-9.5,1,1,
1,8.34,-0.7,1,1,
2,31.54,-2.2,1,1,
3,249.31,7.1,0,1,
1,8.15,-2.3,1,2,
2,30.31,-3.9,1,2,
3,261.78,5.0,0,2,
1,7.91,-2.9,1,3,
2,32.37,6.8,0,1,
3,247.91,-5.3,1,1,
1,8.01,1.3,0,1,
2,33.28,2.8,0,2,
3,230.8,-6.9,1,2,
1,8.19,2.2,0,2,
2,32.58,-2.1,1,1,
3,253.65,9.9,0,1,
1,8.06,-1.6,1,1,
2,32.42,-0.5,1,2,
3,268.36,5.8,0,2,
1,8.15,1.1,0,1,
2,33.98,4.8,0,1,
3,296.27,10.4,0,3,
1,8.28,1.6,0,2,
2,31.87,-6.2,1,1,
3,318.19,7.4,0,4,
1,8.1,-2.2,1,1,
2,29.93,-6.1,1,2,
3,301.64,-5.2,1,4,crash:5
1,8.2,1.2,0,1,
2,31.28,4.5,0,1,
3,272.68,-9.6,1,4,crash:4
1,8.4,2.4,0,2,
2,31.34,0.2,0,2,
3,256.59,-5.9,1,4,crash:3
1,8.33,-0.8,1,1,
2,29.52,-5.8,1,1,
3,235.55,-8.2,1,4,crash:2
1,8.42,1.1,0,1,
2,29.02,-1.7,1,2,
3,221.89,-5.8,1,4,crash:1
1,8.55,1.5,0,2,
2,28.06,-3.3,1,3,
3,247.85,11.7,0,1,
1,8.46,-1.0,1,1,
2,29.86,6.4,0,1,
3,265.7,7.2,0,2,
1,8.68,2.6,0,1,
2,31.38,5.1,0,2,
3,298.65,12.4,0,3,
1,8.58,-1.1,1,1,
2,33.58,7.0,0,3,
3,276.25,-7.5,1,1,
1,8.67,1.0,0,1,
2,32.47,-3.3,1,1,
3,259.12,-6.2,1,2,
1,8.54,-1.5,1,1,
2,31.72,-2.3,1,2,
3,284.25,9.7,0,1,
1,8.57,0.3,0,1,
2,30.32,-4.4,1,3,
3,312.96,10.1,0,2,
1,8.62,0.6,0,2,
2,29.77,-1.8,1,4,
3,288.24,-7.9,1,1,
1,8.49,-1.5,1,1,
2,30.19,1.4,0,1,
3,320.23,11.1,0,1,
1,8.6,1.3,0,1,
2,30.97,2.6,0,2,
3,300.06,-6.3,1,1,
1,8.86,3.0,0,2,
2,31.93,3.1,0,3,
3,336.67,12.2,0,1,
1,8.65,-2.4,1,1,
2,31.42,-1.6,1,1,
3,368.99,9.6,0,2,
1,8.8,1.7,0,1,
2,30.13,-4.1,1,2,
3,350.54,-5.0,1,1,
1,8.96,1.8,0,2,
2,31.21,3.6,0,1,
3,321.09,-8.4,1,2,
1,8.84,-1.3,1,1,
2,28.9,-7.4,1,1,
3,347.1,8.1,0,1,
1,8.95,1.3,0,1,
2,27.98,-3.2,1,2,
3,327.32,-5.7,1,1,
1,8.82,-1.4,1,1,
2,29.52,5.5,0,1,
3,302.77,-7.5,1,2,
1,8.98,1.8,0,1,
2,28.78,-2.5,1,1,
3,287.33,-5.1,1,3,
1,9.22,2.7,0,2,
2,28.64,-0.5,1,2,
3,259.17,-9.8,1,4,
1,9.19,-0.3,1,1,
2,28.44,-0.7,1,3,
3,278.09,7.3,0,1,
1,9.15,-0.4,1,2,
2,26.82,-5.7,1,4,
3,296.17,6.5,0,2,
1,9.26,1.2,0,1,
2,26.12,-2.6,1,5,
3,324.31,9.5,0,3,
1,9.37,1.2,0,2,
2,24.53,-6.1,1,6,
3,361.61,11.5,0,4,
1,9.27,-1.1,1,1,
2,25.81,5.2,0,1,
3,339.91,-6.0,1,1,
1,9.36,1.0,0,1,
2,26.64,3.2,0,2,
3,308.98,-9.1,1,2,
1,9.1,-2.8,1,1,
2,28.24,6.0,0,3,
3,345.13,11.7,0,1,
1,9.35,2.7,0,1,
2,28.21,-0.1,1,1,
3,316.48,-8.3,1,1,
1,9.24,-1.2,1,1,
2,27.76,-1.6,1,2,
3,292.11,-7.7,1,2,
1,9.3,0.6,0,1,
2,25.98,-6.4,1,3,
3,268.45,-8.1,1,3,
1,9.4,1.1,0,2,
2,25.54,-1.7,1,4,
3,293.42,9.3,0,1,
1,9.39,-0.1,1,1,
2,26.05,2.0,0,1,
3,265.84,-9.4,1,1,
1,9.15,-2.6,1,2,
2,24.54,-5.8,1,1,
3,241.91,-9.0,1,2,
1,9.3,1.6,0,1,
2,25.13,2.4,0,1,
3,220.38,-8.9,1,3,
1,9.21,-1.0,1,1,
2,25.88,3.0,0,2,
3,235.15,6.7,0,1,
1,9.22,0.1,0,1,
2,24.09,-6.9,1,1,
3,219.39,-6.7,1,1,
1,9.17,-0.5,1,1,
2,25.63,6.4,0,1,
3,239.14,9.0,0,1,
1,9.28,1.2,0,1,
2,26.86,4.8,0,2,
3,260.9,9.1,0,2,
1,9.48,2.2,0,2,
2,28.79,7.2,0,3,
3,235.59,-9.7,1,1,
1,9.41,-0.7,1,1,
2,29.51,2.5,0,4,
3,264.1,12.1,0,1,
1,9.45,0.4,0,1,
2,30.6,3.7,0,5,
3,249.31,-5.6,1,1,
1,9.63,1.9,0,2,
2,30.05,-1.8,1,1,
3,277.73,11.4,0,1,
1,9.59,-0.4,1,1,
2,31.52,4.9,0,1,
3,302.73,9.0,0,2,
1,9.54,-0.5,1,2,
2,32.84,4.2,0,2,
3,276.09,-8.8,1,1,
1,9.56,0.2,0,1,
2,32.41,-1.3,1,1,
3,295.14,6.9,0,1,
1,9.54,-0.2,1,1,
2,30.37,-6.3,1,2,
3,266.81,-9.6,1,1,
1,9.77,2.4,0,1,
2,31.83,4.8,0,1,
3,243.06,-8.9,1,2,
1,9.99,2.3,0,2,
2,31.29,-1.7,1,1,
3,263.48,8.4,0,1,
1,9.88,-1.1,1,1,
2,32.54,4.0,0,1,
3,295.36,12.1,0,2,
1,9.97,0.9,0,1,
2,31.11,-4.4,1,1,
3,325.19,10.1,0,3,
1,9.89,-0.8,1,1,
2,29.8,-4.2,1,2,
3,299.17,-8.0,1,1,
1,9.93,0.4,0,1,
2,30.46,2.2,0,1,
3,322.51,7.8,0,1,
1,9.67,-2.6,1,1,
2,29.36,-3.6,1,1,
3,348.31,8.0,0,2,
1,9.79,1.2,0,1,
2,30.01,2.2,0,1,
3,315.22,-9.5,1,1,
1,9.67,-1.2,1,1,
2,29.74,-0.9,1,1,
3,294.1,-6.7,1,2,
1,9.89,2.3,0,1,
2,31.14,4.7,0,1,
3,322.33,9.6,0,1,
1,9.63,-2.6,1,1,
2,29.77,-4.4,1,1,
3,296.54,-8.0,1,1,
1,9.91,2.9,0,1,
2,27.95,-6.1,1,2,
3,325.9,9.9,0,1,
1,10.07,1.6,0,2,
2,27.06,-3.2,1,3,
3,360.45,10.6,0,2,
1,9.92,-1.5,1,1,
2,27.2,0.5,0,1,
3,403.34,11.9,0,3,
1,9.96,0.4,0,1,
2,25.32,-6.9,1,1,
3,370.67,-8.1,1,1,
1,9.81,-1.5,1,1,
2,24.21,-4.4,1,2,
3,348.43,-6.0,1,2,
1,9.84,0.3,0,1,
2,23.24,-4.0,1,3,
3,382.92,9.9,0,1,
1,9.91,0.7,0,2,
2,24.59,5.8,0,1,
3,415.47,8.5,0,2,
1,9.97,0.6,0,3,
2,25.92,5.4,0,2,
3,459.51,10.6,0,3,
1,10.22,2.5,0,4,
2,24.73,-4.6,1,1,
3,433.78,-5.6,1,1,
1,9.98,-2.3,1,1,
2,26.51,7.2,0,1,
3,473.25,9.1,0,1,
1,10.1,1.2,0,1,
2,24.55,-7.4,1,1,
3,512.06,8.2,0,2,
1,9.85,-2.5,1,1,
2,24.03,-2.1,1,2,
3,553.54,8.1,0,3,
1,9.98,1.3,0,1,
2,23.6,-1.8,1,3,
3,621.63,12.3,0,4,
1,10.24,2.6,0,2,
2,22.3,-5.5,1,4,
3,567.55,-8.7,1,1,
1,10.14,-1.0,1,1,
2,22.63,1.5,0,1,
3,536.33,-5.5,1,2,
1,9.95,-1.9,1,2,
2,24.17,6.8,0,2,
3,492.89,-8.1,1,3,
1,10.06,1.1,0,1,
2,22.62,-6.4,1,1,
3,553.02,12.2,0,1,
1,10.26,2.0,0,2,
2,21.67,-4.2,1,2,
3,596.71,7.9,0,2,
1,10.42,1.6,0,3,
2,22.47,3.7,0,1,
3,547.78,-8.2,1,1,
1,10.47,0.5,0,4,
2,23.55,4.8,0,2,
3,499.03,-8.9,1,2,
1,10.23,-2.3,1,1,
2,24.82,5.4,0,3,
3,464.6,-6.9,1,3,
1,10.31,0.8,0,1,
2,24.17,-2.6,1,1,
3,493.87,6.3,0,1,
1,10.41,1.0,0,2,
2,25.21,4.3,0,1,
3,446.46,-9.6,1,1,
1,10.22,-1.8,1,1,
2,25.24,0.1,0,2,
3,502.27,12.5,0,1,
1,10.12,-1.0,1,2,
2,26.93,6.7,0,3,
3,528.89,5.3,0,2,
1,9.94,-1.8,1,3,
2,28.11,4.4,0,4,
3,584.95,10.6,0,3,
1,10.22,2.8,0,1,
2,28.76,2.3,0,5,
3,536.98,-8.2,1,1,
1,10.36,1.4,0,2,
2,26.66,-7.3,1,1,
3,586.92,9.3,0,1,
1,10.13,-2.2,1,1,
2,27.81,4.3,0,1,
3,623.31,6.2,0,2,
1,10.24,1.1,0,1,
2,29.45,5.9,0,2,
3,693.74,11.3,0,3,
1,10.02,-2.1,1,1,
2,31.28,6.2,0,3,
3,646.57,-6.8,1,1,
1,10.11,0.9,0,1,
2,30.5,-2.5,1,1,
3,712.52,10.2,0,1,
1,9.82,-2.9,1,1,
2,32.67,7.1,0,1,
3,770.95,8.2,0,2,
1,9.53,-3.0,1,2,
2,33.09,1.3,0,2,
3,713.9,-7.4,1,1,
1,9.8,2.8,0,1,
2,32.46,-1.9,1,1,
3,755.31,5.8,0,1,
1,9.99,1.9,0,2,
2,31.1,-4.2,1,2,
3,684.31,-9.4,1,1,
1,9.76,-2.3,1,1,
2,32.16,3.4,0,1,
3,617.25,-9.8,1,2,
1,9.8,0.4,0,1,
2,32.48,1.0,0,2,
3,586.39,-5.0,1,3,
1,9.68,-1.2,1,1,
2,32.25,-0.7,1,1,
3,533.03,-9.1,1,4,
1,9.95,2.8,0,1,
2,33.7,4.5,0,1,
3,582.6,9.3,0,1,
1,9.77,-1.8,1,1,
2,35.12,4.2,0,2,
3,549.39,-5.7,1,1,
1,10.01,2.5,0,1,
2,35.05,-0.2,1,1,
3,504.89,-8.1,1,2,
1,10.09,0.8,0,2,
2,37.57,7.2,0,1,
3,474.6,-6.0,1,3,
1,9.88,-2.1,1,1,
2,38.36,2.1,0,2,
3,436.63,-8.0,1,4,
1,10.17,2.9,0,1,
2,40.47,5.5,0,3,
3,406.5,-6.9,1,5,
1,10.4,2.3,0,2,
2,39.26,-3.0,1,1,
3,444.3,9.3,0,1,
1,10.23,-1.6,1,1,
2,37.61,-4.2,1,2,
3,404.31,-9.0,1,1,
1,10.12,-1.1,1,2,
2,39.72,5.6,0,1,
3,438.27,8.4,0,1,
1,10.15,0.3,0,1,
2,41.11,3.5,0,2,
3,460.18,5.0,0,2,
1,10.08,-0.7,1,1,
2,41.36,0.6,0,3,
3,414.16,-10.0,1,1,
1,10.15,0.7,0,1,
2,43.06,4.1,0,4,
3,379.37,-8.4,1,2,
1,10.28,1.3,0,2,
2,46.12,7.1,0,5,
3,342.95,-9.6,1,3,
1,10.19,-0.9,1,1,
2,43.72,-5.2,1,1,
3,365.93,6.7,0,1,
1,10.38,1.9,0,1,
2,43.76,0.1,0,1,
3,402.52,10.0,0,2,
1,10.12,-2.5,1,1,
2,44.24,1.1,0,2,
3,364.68,-9.4,1,1,
1,10.36,2.4,0,1,
2,44.82,1.3,0,3,
3,344.26,-5.6,1,2,
1,10.58,2.1,0,2,
2,42.62,-4.9,1,1,
3,310.18,-9.9,1,3,
1,10.26,-3.0,1,1,
2,45.18,6.0,0,1,
3,339.65,9.5,0,1,
1,10.57,3.0,0,1,
2,41.84,-7.4,1,1,
3,312.14,-8.1,1,1,
1,10.46,-1.0,1,1,
2,42.59,1.8,0,1,
3,330.24,5.8,0,1,
1,10.29,-1.6,1,2,
2,43.95,3.2,0,2,
3,299.53,-9.3,1,1,
1,10.57,2.7,0,1,
2,43.51,-1.0,1,1,
3,273.77,-8.6,1,2,
1,10.81,2.3,0,2,
2,42.2,-3.0,1,2,
3,290.47,6.1,0,1,
1,10.54,-2.5,1,1,
2,43.8,3.8,0,1,
3,320.97,10.5,0,2,
1,10.5,-0.4,1,2,
2,43.45,-0.8,1,1,
3,349.22,8.8,0,3,
1,10.67,1.6,0,1,
2,43.54,0.2,0,1,
3,387.63,11.0,0,4,
1,10.51,-1.5,1,1,
2,45.28,4.0,0,2,
3,350.42,-9.6,1,1,
1,10.78,2.6,0,1,
2,44.87,-0.9,1,1,
3,376.0,7.3,0,1,
1,10.77,-0.1,1,1,
2,41.59,-7.3,1,2,
3,352.31,-6.3,1,1,crash:5
1,11.07,2.8,0,1,
2,42.59,2.4,0,1,
3,325.53,-7.6,1,1,crash:4
1,10.87,-1.8,1,1,
2,43.23,1.5,0,2,
3,300.79,-7.6,1,1,crash:3
1,10.99,1.1,0,1,
2,45.0,4.1,0,3,
3,285.15,-5.2,1,1,crash:2
1,10.83,-1.5,1,1,
2,46.26,2.8,0,4,
3,268.04,-6.0,1,1,crash:1
1,11.06,2.1,0,1,
2,45.2,-2.3,1,1,
3,243.92,-9.0,1,2,
1,10.91,-1.4,1,1,
2,43.93,-2.8,1,2,
3,225.14,-7.7,1,3,
1,11.17,2.4,0,1,
2,40.81,-7.1,1,3,
3,250.81,11.4,0,1,
1,11.19,0.2,0,2,
2,38.16,-6.5,1,4,
3,280.41,11.8,0,2,
1,11.11,-0.7,1,1,
2,35.64,-6.6,1,5,
3,305.09,8.8,0,3,
1,11.14,0.3,0,1,
2,35.89,0.7,0,1,
3,287.39,-5.8,1,1,
1,11.13,-0.1,1,1,
2,33.66,-6.2,1,1,
3,259.23,-9.8,1,1,crash:5
1,11.26,1.2,0,1,
2,32.68,-2.9,1,2,
3,245.49,-5.3,1,1,crash:4
1,10.99,-2.4,1,1,
2,31.86,-2.5,1,3,
3,231.99,-5.5,1,1,crash:3
1,10.74,-2.3,1,2,
2,32.27,1.3,0,1,
3,209.02,-9.9,1,1,crash:2
1,10.5,-2.2,1,3,
2,30.56,-5.3,1,1,
3,190.21,-9.0,1,1,crash:1
1,10.77,2.6,0,1,
2,29.03,-5.0,1,2,
3,178.61,-6.1,1,2,
1,11.07,2.8,0,2,
2,29.7,2.3,0,1,
3,165.93,-7.1,1,3,
1,11.29,2.0,0,3,
2,31.1,4.7,0,2,
3,178.37,7.5,0,1,
1,11.58,2.6,0,4,
2,31.47,1.2,0,3,
3,194.42,9.0,0,2,
1,11.3,-2.4,1,1,
2,29.2,-7.2,1,1,
3,176.73,-9.1,1,1,
1,11.44,1.2,0,1,
2,27.8,-4.8,1,2,
3,195.82,10.8,0,1,
1,11.67,2.0,0,2,
2,29.44,5.9,0,1,
3,206.0,5.2,0,2,
1,11.34,-2.8,1,1,
2,28.17,-4.3,1,1,
3,230.72,12.0,0,3,
1,11.68,3.0,0,1,
2,27.63,-1.9,1,2,
3,218.72,-5.2,1,1,
1,11.35,-2.8,1,1,
2,25.75,-6.8,1,3,
